,output_state,experiment,diagnosis,invalid_loss_value,max_memory_allocated,final_batch_size,project,linear_probing,curve_length
172,ok,128066297985587717_mini_set0_TEX_v1,success,False,8451236352.0,128.0,AFT-MN-01,False,1.0
173,ok,20753689075626840_mini_set1_RSICB_v1,success,False,1840384000.0,16.0,AFT-MN-00,True,50.0
174,xx,12817437242294191_mini_set1_PNU_v1,AMP,,,,,,
175,ok,128732252674250397_mini_set0_CRS_v1,success,False,297113600.0,4.0,AFT-MN-01,True,50.0
176,ok,12844123355636306_mini_set0_CRS_v1,success,False,9077009408.0,16.0,AFT-MN-01,False,1.0
177,xx,20811755037169359_mini_set2_PRT_v1,diverged,True,9155528192.0,16.0,AFT-MN-00,False,1.0
178,ok,20996964405711983_mini_set0_BCT_v1,success,False,10290317824.0,32.0,AFT-MN-00,False,1.0
179,ok,129325888497551554_mini_set0_BRD_v1,success,False,10286201856.0,8.0,AFT-MN-01,False,1.0
180,xx,129509780204042345_mini_set1_INS_2_v1,OOM,,,,,,
181,xx,211982912731515_mini_set1_PNU_v1,AMP,,,,,,
182,ok,20744700591037003_mini_set0_MD_MIX_v1,success,False,9993596928.0,4.0,AFT-MN-00,False,1.0
183,xx,13219444326810561_mini_set0_MD_MIX_v1,AMP,,,,,,
184,ok,13379068321754999_mini_set0_PLK_v1,success,True,2594591744.0,8.0,AFT-MN-01,True,26.0
185,ok,213613133069532979_mini_set0_CRS_v1,success,False,2490469376.0,2.0,AFT-MN-00,True,50.0
186,ok,133873805158373524_mini_set2_RSD_v1,success,False,4230871040.0,8.0,AFT-MN-01,True,50.0
187,ok,21476065605981676_mini_set2_MD_6_v1,success,False,10447091200.0,32.0,AFT-MN-00,False,1.0
188,ok,21483731094465374_mini_set0_RESISC_v1,success,False,6771009536.0,32.0,AFT-MN-00,True,50.0
189,ok,21560095912203906_mini_set1_PLT_NET_v1,success,False,10412781056.0,2.0,AFT-MN-00,False,1.0
190,ok,21789423099549955_mini_set2_PLT_DOC_v1,success,False,88190976.0,2.0,AFT-MN-00,True,50.0
191,ok,21713769986177814_mini_set2_RSD_v1,success,False,2485598208.0,16.0,AFT-MN-00,True,50.0
192,ok,21817989625347313_mini_set0_CRS_v1,success,False,564011008.0,16.0,AFT-MN-00,True,50.0
193,ok,134652913745460135_mini_set2_FNG_v1,success,False,10038537728.0,2.0,AFT-MN-01,False,1.0
194,ok,21451000145922389_mini_set2_MD_6_v1,success,False,9579419648.0,16.0,AFT-MN-00,False,1.0
195,xx,21845288277378024_mini_set1_MD_5_BIS_v1,NoCUDA,,,,,,
196,xx,2185614113154365_mini_set1_RSICB_v1,NoCUDA,,,,,,
197,xx,2193882022408505_mini_set0_TEX_v1,NoCUDA,,,,,,
198,ok,22017652489728890_mini_set2_ACT_410_v1,success,False,8483381248.0,32.0,AFT-MN-00,True,50.0
199,xx,13631069259434466_mini_set0_FLW_v1,NoCUDA,,,,,,
200,ok,22049721896407896_mini_set2_PLT_DOC_v1,success,False,10225577984.0,8.0,AFT-MN-00,False,1.0
201,xx,22095604763921331_mini_set0_RESISC_v1,AMP,,,,,,
202,ok,221699825931165952_mini_set2_PLT_DOC_v1,success,False,6013856256.0,8.0,AFT-MN-00,True,50.0
203,ok,22199253631575383_mini_set2_INS_v1,success,False,10209662976.0,16.0,AFT-MN-00,False,1.0
204,xx,22211088045044457_mini_set1_ACT_40_v1,AMP,,,,,,
205,xx,22347333872977300_mini_set2_PRT_v1,OOM,,,,,,
206,ok,224359816512293567_mini_set0_RESISC_v1,success,False,10369448448.0,64.0,AFT-MN-00,False,1.0
207,xx,13711745415243045_mini_set0_SPT_v1,OOM,,,,,,
208,ok,137249535340454961_mini_set1_APL_v1,success,True,7166093824.0,4.0,AFT-MN-01,True,27.0
209,ok,22600273658329108_mini_set1_PNU_v1,success,False,9063001600.0,64.0,AFT-MN-00,True,50.0
210,ok,22623114356636939_mini_set2_FNG_v1,success,False,8489306624.0,128.0,AFT-MN-00,False,1.0
