device_count,initial_eval_loss,initial_eval_top1,initial_eval_top5,invalid_loss_value,max_memory_allocated,final_batch_size,experiment,project,curve_length
1,3.31923828125,1.875,16.875,False,10427817984,8,3758855938566943_micro_set0_PLT_VIL_v1,AFT-MC-00,50
1,2.972545623779297,0.0,25.0,False,9715676672,2,826657819306548_micro_set2_TEX_ALOT_v1,AFT-MC-00,1
1,,5.0,21.25,False,261363200,16,89232770141202013_micro_set0_PLK_v1,AFT-MC-00,50
1,3.11875,6.875,28.125,False,712955392,128,32738081217012391_micro_set0_PLT_VIL_v1,AFT-MC-00,50
1,3.227001953125,5.625,22.5,True,1071407616,4,76874232822979863_micro_set1_INS_2_v1,AFT-MC-00,26
1,2.7076305150985718,0.0,75.0,False,10204986368,2,223029994131068752_micro_set1_INS_2_v1,AFT-MC-00,1
1,3.712731182575226,3.75,20.625,False,1324823040,4,31634567501282786_micro_set1_TEX_DTD_v1,AFT-MC-00,50
1,3.8753330230712892,8.125,28.75,False,1425131520,16,72319418256829200_micro_set2_RSD_v1,AFT-MC-00,50
1,3.15791015625,6.25,26.25,False,1687981056,4,29591534746898589_micro_set0_MD_MIX_v1,AFT-MC-00,50
1,3.0192574858665466,5.625,22.5,False,10390808576,8,33040329402055442_micro_set0_BCT_v1,AFT-MC-00,50
1,4.0459716796875,5.0,27.5,False,168422400,2,4072523180065435_micro_set0_MD_MIX_v1,AFT-MC-00,50
1,3.0720703125,6.875,31.875,False,9971274752,16,6042644030773705_micro_set0_BRD_v1,AFT-MC-00,50
1,3.45334792137146,3.75,25.625,False,7438232576,16,41347193183415168_micro_set1_MD_5_BIS_v1,AFT-MC-00,50
1,3.273046875,2.5,25.625,False,3134972416,32,235804101739514505_micro_set0_PLT_VIL_v1,AFT-MC-00,50
1,3.32265625,7.5,18.125,False,4688934912,128,730836193909513_micro_set2_RSD_v1,AFT-MC-00,50
1,2.996875,5.0,28.75,False,6223769088,32,22030979198091615_micro_set2_PRT_v1,AFT-MC-00,50
1,3.012881335616112,4.375,19.375,False,609284608,2,184269197218988898_micro_set2_ACT_410_v1,AFT-MC-00,50
1,3.0496417045593263,4.375,20.625,False,10089074688,128,73924951127921510_micro_set2_FNG_v1,AFT-MC-00,1
1,3.24609375,1.25,16.25,False,10315548160,32,249929918180131319_micro_set0_SPT_v1,AFT-MC-00,50
1,3.3779724895954133,4.375,24.375,False,10425760768,4,9124865029173246_micro_set0_PLK_v1,AFT-MC-00,50
1,,5.0,24.375,True,5639182336,128,15418660139883877_micro_set2_INS_v1,AFT-MC-00,38
1,3.0954975328947367,5.921052631578948,28.94736842105263,False,76600320,4,55283887432744401_micro_set1_PNU_v1,AFT-MC-00,50
1,3.4078125,2.5,26.875,False,596630016,16,124011975671125549_micro_set2_BTS_v1,AFT-MC-00,50
1,,2.5,17.5,True,10272206848,16,128108856601487015_micro_set1_APL_v1,AFT-MC-00,1
1,2.973828125,3.75,34.375,False,6138847232,32,3358470016119951_micro_set0_BRD_v1,AFT-MC-00,50
1,3.1339035034179688,5.0,29.375,False,2769138688,256,7862940955828220_micro_set1_MED_LF_v1,AFT-MC-00,50
1,,6.875,27.5,True,7998658560,4,19300641488870637_micro_set0_CRS_v1,AFT-MC-00,1
1,3.4339301943778993,3.125,13.125,False,7529830400,8,29221533259129066_micro_set0_TEX_v1,AFT-MC-00,50
1,3.0165283203125,10.625,36.875,False,36701696,2,4264497472520503_micro_set2_MD_6_v1,AFT-MC-00,50
1,1.9455781123886304e+31,4.375,20.0,True,8552801280,2,80349147021528360_micro_set1_MD_5_BIS_v1,AFT-MC-00,26
1,3.2001953125,5.625,22.5,True,170486272,4,43435257705736689_micro_set1_TEX_DTD_v1,AFT-MC-00,26
1,3.1599609375,1.875,16.875,False,3151830016,16,51043409296566343_micro_set0_CRS_v1,AFT-MC-00,50
1,3.409261703491211,2.5,21.875,False,5760634368,256,7997201963183030_micro_set2_ACT_410_v1,AFT-MC-00,50
1,3.4938322368421053,3.9473684210526314,21.710526315789473,False,428982784,4,294298717339641819_micro_set1_PNU_v1,AFT-MC-00,50
1,2.842222213745117,0.0,75.0,False,9768603648,2,86136794344840992_micro_set2_MD_6_v1,AFT-MC-00,1
1,3.587109375,5.0,24.375,False,10318138880,32,454609036802359163_micro_set1_TEX_DTD_v1,AFT-MC-00,50
1,3.58984375,8.125,30.0,False,10325875712,16,51843966273621787_micro_set0_PLT_VIL_v1,AFT-MC-00,50
1,3.1095458984375,5.0,17.5,True,5049877504,2,18192862611332641_micro_set0_FLW_v1,AFT-MC-00,29
1,2.97647089707224,5.921052631578948,28.94736842105263,False,5519556096,16,144736143392187834_micro_set1_PNU_v1,AFT-MC-00,50
1,3.288436269760132,7.5,27.5,False,9757130240,64,43247813467691712_micro_set1_ACT_40_v1,AFT-MC-00,50
1,3.05556640625,6.875,23.125,False,102977536,8,11593872890702519_micro_set2_PLT_DOC_v1,AFT-MC-00,50
1,2.8740234375,0.0,50.0,False,10368486400,2,92902571638397447_micro_set0_PLT_VIL_v1,AFT-MC-00,1
1,3.291832208633423,0.0,0.0,False,10057889792,2,164750108942092530_micro_set2_AWA_v1,AFT-MC-00,1
1,8.530981123570794e+17,4.375,23.125,False,7001490432,8,2791543962924994_micro_set1_APL_v1,AFT-MC-00,50
1,3.005859375,3.125,23.4375,False,9961782272,32,47878812568665641_micro_set2_FNG_v1,AFT-MC-00,1
1,3.353976607322693,5.625,26.875,False,5934621696,16,76952514658387362_micro_set2_MD_6_v1,AFT-MC-00,50
1,3.24306640625,3.75,22.5,False,70561792,8,109954661905276925_micro_set1_ACT_40_v1,AFT-MC-00,50
1,3.004111957550049,5.0,31.25,False,2642329088,16,37246029567981378_micro_set2_RSD_v1,AFT-MC-00,50
1,3.0263671875,0.0,37.5,False,10201385472,4,31997652443282893_micro_set2_FNG_v1,AFT-MC-00,1
1,3.8641703724861145,10.0,35.625,False,626221056,8,30816616454001742_micro_set0_PLT_VIL_v1,AFT-MC-00,50
1,3.517578125,6.25,18.75,False,10405811200,8,20380851123398851_micro_set0_PLK_v1,AFT-MC-00,1
1,3.19921875,0.0,15.625,False,10199977984,16,30170319608294941_micro_set1_APL_v1,AFT-MC-00,1
1,3.1272149801254274,1.875,26.25,True,10374865920,16,24419802126139658_micro_set1_TEX_DTD_v1,AFT-MC-00,1
1,3.0164536952972414,10.625,36.875,False,1905031168,64,26535083538803968_micro_set2_MD_6_v1,AFT-MC-00,50
1,3.0164306640625,7.5,25.625,True,102388224,2,19965442616008345_micro_set2_PRT_v1,AFT-MC-00,26
1,3.0205078125,3.125,20.3125,False,7787204096,32,40206495039778433_micro_set2_AWA_v1,AFT-MC-00,1
1,,12.5,12.5,True,10129219072,4,60600634716802343_micro_set2_ACT_410_v1,AFT-MC-00,1
1,3.044921875,6.25,43.75,False,10208609280,8,59387276710586225_micro_set2_MD_6_v1,AFT-MC-00,1
1,2.558795980382977e+31,6.25,28.75,False,8775070720,2,70175734501859226_micro_set1_ACT_40_v1,AFT-MC-00,50
1,3.304296875,6.25,33.125,False,7886081024,32,81838283465550177_micro_set1_PLT_NET_v1,AFT-MC-00,50
1,3.11572265625,2.5,26.25,True,4747492352,4,26545429374632319_micro_set0_RESISC_v1,AFT-MC-00,26
1,3.27265625,2.5,25.625,True,2796916736,16,92234848079849731_micro_set0_PLT_VIL_v1,AFT-MC-00,26
