,output_state,experiment,diagnosis,invalid_loss_value,max_memory_allocated,final_batch_size,project,linear_probing,curve_length
187,ok,21476065605981676_mini_set2_MD_6_v1,success,,,,,,
188,ok,21483731094465374_mini_set0_RESISC_v1,success,,,,,,
189,ok,21560095912203906_mini_set1_PLT_NET_v1,success,,,,,,
190,ok,21789423099549955_mini_set2_PLT_DOC_v1,success,,,,,,
191,ok,21713769986177814_mini_set2_RSD_v1,success,,,,,,
192,ok,21817989625347313_mini_set0_CRS_v1,success,,,,,,
193,ok,134652913745460135_mini_set2_FNG_v1,success,,,,,,
194,ok,21451000145922389_mini_set2_MD_6_v1,success,,,,,,
195,xx,21845288277378024_mini_set1_MD_5_BIS_v1,NoCUDA,,,,,,
196,xx,2185614113154365_mini_set1_RSICB_v1,NoCUDA,,,,,,
197,xx,2193882022408505_mini_set0_TEX_v1,NoCUDA,,,,,,
198,ok,22017652489728890_mini_set2_ACT_410_v1,success,,,,,,
199,xx,13631069259434466_mini_set0_FLW_v1,NoCUDA,,,,,,
200,ok,22049721896407896_mini_set2_PLT_DOC_v1,success,,,,,,
201,xx,22095604763921331_mini_set0_RESISC_v1,AMP,,,,,,
202,ok,221699825931165952_mini_set2_PLT_DOC_v1,success,,,,,,
203,ok,22199253631575383_mini_set2_INS_v1,success,,,,,,
204,xx,22211088045044457_mini_set1_ACT_40_v1,AMP,,,,,,
205,xx,22347333872977300_mini_set2_PRT_v1,OOM,,,,,,
206,ok,224359816512293567_mini_set0_RESISC_v1,success,,,,,,
207,xx,13711745415243045_mini_set0_SPT_v1,OOM,,,,,,
208,ok,137249535340454961_mini_set1_APL_v1,success,,,,,,
209,ok,22600273658329108_mini_set1_PNU_v1,success,,,,,,
210,ok,22623114356636939_mini_set2_FNG_v1,success,,,,,,
211,ok,22685419152591035_mini_set2_PLT_DOC_v1,success,,,,,,
212,ok,22815179777630122_mini_set1_RSICB_v1,success,,,,,,
213,ok,22699970884148305_mini_set0_CRS_v1,success,,,,,,
214,ok,13775615448537268_mini_set0_CRS_v1,success,,,,,,
215,ok,2295418263156179_mini_set1_PLT_NET_v1,success,,,,,,
216,ok,101449176740089726_mini_set1_DOG_v1,success,,,,,,
217,ok,100239152903273275_mini_set2_PRT_v1,success,,,,,,
218,ok,100423834391031358_mini_set0_MD_MIX_v1,success,,,,,,
219,ok,10083814934861020_mini_set2_TEX_ALOT_v1,success,,,,,,
220,xx,10017762325121273_mini_set0_BCT_v1,diverged,,,,,,
221,ok,100281397475676210_mini_set1_TEX_DTD_v1,success,,,,,,
222,ok,100321137860067916_mini_set0_SPT_v1,success,,,,,,
223,ok,100563378487690834_mini_set0_BCT_v1,success,,,,,,
224,ok,100160203634018772_mini_set0_BCT_v1,success,,,,,,
225,ok,10011670665608324_mini_set2_PRT_v1,success,,,,,,
226,ok,100127337910306834_mini_set2_ACT_410_v1,success,,,,,,
227,xx,100137654139182253_mini_set2_ACT_410_v1,AMP,,,,,,
228,ok,1001027908207854_mini_set0_CRS_v1,success,,,,,,
229,ok,10037275841525775_mini_set0_RESISC_v1,success,,,,,,
230,ok,10097053711253041_mini_set2_INS_v1,success,,,,,,
231,ok,100421623334194238_mini_set2_RSD_v1,success,,,,,,
232,ok,101651263000499141_mini_set0_TEX_v1,success,,,,,,
233,ok,100562185288038229_mini_set1_PLT_NET_v1,success,,,,,,
234,xx,100313958514010469_mini_set2_ACT_410_v1,OOM,,,,,,
235,ok,100696788331297854_mini_set1_MD_5_BIS_v1,success,,,,,,
236,ok,10175609899294998_mini_set1_PLT_NET_v1,success,,,,,,
237,ok,10048875301630839_mini_set2_TEX_ALOT_v1,success,,,,,,
238,ok,100317808712675780_mini_set2_INS_v1,success,,,,,,
239,ok,10056729486034908_mini_set2_PRT_v1,success,,,,,,
240,ok,102440144513217581_mini_set2_RSD_v1,success,,,,,,
241,ok,102140113730643895_mini_set0_PLK_v1,success,,,,,,
242,ok,100747707999089996_mini_set0_BCT_v1,success,,,,,,
243,xx,10082379963161573_mini_set1_MED_LF_v1,AMP,,,,,,
244,ok,101152828757641350_mini_set2_AWA_v1,success,,,,,,
245,ok,10154715291441110_mini_set0_PLK_v1,success,,,,,,
