invalid_loss_value,max_memory_allocated,final_batch_size,experiment,project,linear_probing,curve_length
False,58092032,2,34508915990654400_extended_set2_PRT_v1,AFT-EX-02,True,1
False,9294163968,4,24449773099536920_extended_set1_TEX_DTD_v1,AFT-EX-02,False,50
False,703819264,32,71179304111115506_extended_set1_ACT_40_v1,AFT-EX-02,False,50
False,8542902784,2,24676982449095366_extended_set1_TEX_DTD_v1,AFT-EX-02,False,50
False,2621061632,32,91395343821433868_extended_set0_RESISC_v1,AFT-EX-02,True,1
False,373005312,32,9971402021902989_extended_set0_RESISC_v1,AFT-EX-02,False,50
False,7232257024,8,4135284078718973_extended_set0_BCT_v1,AFT-EX-02,False,50
False,2756061696,64,31884855391106165_extended_set2_ACT_410_v1,AFT-EX-02,True,1
False,4656193536,4,86088367948172150_extended_set1_DOG_v1,AFT-EX-02,True,1
False,2623735808,32,10372858027413308_extended_set0_TEX_v1,AFT-EX-02,True,1
False,8979746304,512,72271845604104911_extended_set0_CRS_v1,AFT-EX-02,False,50
False,2851400704,8,65180932775940946_extended_set2_FNG_v1,AFT-EX-02,True,1
False,1233481216,64,17432941382931088_extended_set2_PLT_DOC_v1,AFT-EX-02,False,50
False,2182759424,8,108491837413198955_extended_set1_TEX_DTD_v1,AFT-EX-02,False,50
False,4183835136,2,56153629596962070_extended_set1_TEX_DTD_v1,AFT-EX-02,True,1
False,2600124416,2,4912638164780743_extended_set0_SPT_v1,AFT-EX-02,False,50
False,5676530688,128,18585286099070448_extended_set1_PLT_NET_v1,AFT-EX-02,False,50
False,5801337856,16,15392419459432945_extended_set0_BRD_v1,AFT-EX-02,True,1
False,40214016,2,135883271750653890_extended_set1_RSICB_v1,AFT-EX-02,True,1
False,80194048,4,306600423743196309_extended_set1_DOG_v1,AFT-EX-02,False,50
True,6026953728,2,127256653372517119_extended_set2_FNG_v1,AFT-EX-02,False,14
False,595832320,2,17652513245626368_extended_set1_ACT_40_v1,AFT-EX-02,True,1
False,3096049152,64,14049871807388482_extended_set0_PLT_VIL_v1,AFT-EX-02,True,1
False,1181874176,32,87657141818597390_extended_set2_BTS_v1,AFT-EX-02,True,1
False,241620480,16,5786877124796803_extended_set0_RESISC_v1,AFT-EX-02,True,1
