invalid_loss_value,max_memory_allocated,final_batch_size,experiment,project,linear_probing,curve_length
False,10360270848,8,12218550526136058_mini_set2_BTS_v1,AFT-MN-00,False,1
True,29724160,2,331276064366829979_mini_set0_FLW_v1,AFT-MN-00,True,26
False,395030016,2,6677221155666175_mini_set0_BCT_v1,AFT-MN-00,False,50
False,5769089024,256,6727624992704624_mini_set2_ACT_410_v1,AFT-MN-00,False,50
False,10287396864,128,61004490023446592_mini_set1_TEX_DTD_v1,AFT-MN-00,False,50
False,10234145792,8,25854900687589727_mini_set2_INS_v1,AFT-MN-00,False,50
False,749341696,8,100136944697018512_mini_set2_PLT_DOC_v1,AFT-MN-00,False,50
False,769294336,32,152430881281975970_mini_set0_BRD_v1,AFT-MN-00,True,50
False,4582172160,2,3358465456615111_mini_set1_ACT_40_v1,AFT-MN-00,False,50
False,399412224,32,124831060732757258_mini_set1_PLT_NET_v1,AFT-MN-00,True,50
False,10415088128,128,44675352433423418_mini_set2_TEX_ALOT_v1,AFT-MN-00,False,50
False,5777058816,256,11801782741738244_mini_set1_PLT_NET_v1,AFT-MN-00,False,50
False,5618804736,128,58770346649441142_mini_set1_PLT_NET_v1,AFT-MN-00,True,50
False,1345152512,128,58648684734606595_mini_set2_MD_6_v1,AFT-MN-00,True,50
False,10345408000,2,237803840629096995_mini_set0_MD_MIX_v1,AFT-MN-00,False,1
False,719235584,8,26173760912226941_mini_set0_PLT_VIL_v1,AFT-MN-00,False,50
False,564011008,16,21817989625347313_mini_set0_CRS_v1,AFT-MN-00,True,50
False,10379175424,16,72035718124593356_mini_set0_PLT_VIL_v1,AFT-MN-00,False,50
False,3700225536,64,159144708573089704_mini_set2_FNG_v1,AFT-MN-00,True,50
False,6215252480,128,13994609147660676_mini_set1_TEX_DTD_v1,AFT-MN-00,True,50
False,9842982400,256,39697689382109423_mini_set2_ACT_410_v1,AFT-MN-00,False,50
False,10251064320,16,121806176874157275_mini_set1_APL_v1,AFT-MN-00,False,50
True,463430144,16,105358260249037249_mini_set0_BCT_v1,AFT-MN-00,True,26
False,2322809856,8,11903044938166877_mini_set2_AWA_v1,AFT-MN-00,False,50
False,3551111168,4,68409969906550034_mini_set0_PLT_VIL_v1,AFT-MN-00,False,50
False,3058676224,4,31172734517682171_mini_set0_SPT_v1,AFT-MN-00,True,50
False,9904274432,4,22699970884148305_mini_set0_CRS_v1,AFT-MN-00,False,1
False,10032252928,8,425973293303907588_mini_set2_PLT_DOC_v1,AFT-MN-00,False,1
False,9852423168,64,114830681502473634_mini_set2_FNG_v1,AFT-MN-00,False,1
False,4281072128,32,3606359193542996_mini_set1_PNU_v1,AFT-MN-00,True,50
False,10370050048,4,61046083422193337_mini_set2_INS_v1,AFT-MN-00,False,1
True,1181530112,64,30746808955699913_mini_set1_PLT_NET_v1,AFT-MN-00,True,26
False,7832638976,2,75372207297959736_mini_set2_ACT_410_v1,AFT-MN-00,True,50
False,9566256640,64,17145039538447826_mini_set0_MD_MIX_v1,AFT-MN-00,False,50
False,10369234944,8,24824816118396963_mini_set0_BRD_v1,AFT-MN-00,False,1
False,2693275136,4,42362744553541821_mini_set1_TEX_DTD_v1,AFT-MN-00,False,50
False,953550336,4,113870377225173333_mini_set2_BTS_v1,AFT-MN-00,False,50
False,1521176576,16,11341972434272317_mini_set0_MD_MIX_v1,AFT-MN-00,False,50
False,3379731456,4,2025596368514559_mini_set2_FNG_v1,AFT-MN-00,True,50
False,2575828480,2,17875274420426779_mini_set1_APL_v1,AFT-MN-00,True,50
False,2871354880,2,13457202766524522_mini_set1_INS_2_v1,AFT-MN-00,True,50
False,4385722880,8,23568770888544623_mini_set1_PLT_NET_v1,AFT-MN-00,True,50
False,10232610816,8,191530075459593917_mini_set0_BCT_v1,AFT-MN-00,False,1
False,9746685952,2,6302189078082440_mini_set1_DOG_v1,AFT-MN-00,False,1
False,3526545408,512,5253681407794397_mini_set2_AWA_v1,AFT-MN-00,False,50
False,3184548352,256,22390005912994005_mini_set1_APL_v1,AFT-MN-00,False,50
False,6860712448,8,23539911278517328_mini_set0_RESISC_v1,AFT-MN-00,False,50
False,10369484288,16,115338100732339924_mini_set0_PLK_v1,AFT-MN-00,False,1
False,9990902784,2,58773006229306068_mini_set2_RSD_v1,AFT-MN-00,False,50
False,7155437056,8,486515094287242936_mini_set2_BTS_v1,AFT-MN-00,True,50
False,603117056,2,3812078236207608_mini_set0_RESISC_v1,AFT-MN-00,True,50
False,1144396288,64,230815779065893918_mini_set2_INS_v1,AFT-MN-00,False,50
False,3919327744,4,29741429058152439_mini_set0_PLT_VIL_v1,AFT-MN-00,False,50
False,155753984,4,429864292358247242_mini_set1_ACT_40_v1,AFT-MN-00,False,50
False,10260817920,4,122956754265885569_mini_set0_MD_MIX_v1,AFT-MN-00,False,1
False,2026136064,64,11251031650978690_mini_set1_INS_2_v1,AFT-MN-00,False,50
False,10452785152,8,125715949902306250_mini_set2_BTS_v1,AFT-MN-00,False,50
False,3598876672,8,120301194564919445_mini_set2_PRT_v1,AFT-MN-00,True,50
False,52201472,2,18279631948305349_mini_set2_MD_6_v1,AFT-MN-00,True,50
False,297583104,4,15828893018582672_mini_set2_MD_6_v1,AFT-MN-00,False,50
False,1484642304,4,198530862181755969_mini_set0_PLT_VIL_v1,AFT-MN-00,True,50
