invalid_loss_value,max_memory_allocated,final_batch_size,experiment,project,linear_probing,curve_length
False,10075997184,16,114239920921560985_tfds-icgen_imagenette_5_v1,AFT-ZAP-00,False,50
False,3031742464,2,142020580432960764_tfds-icgen_cmaterdb_telugu_5_v1,AFT-ZAP-00,True,50
False,10116746240,32,118586997585360269_tfds-icgen_tf_flowers_7_v1,AFT-ZAP-00,False,1
False,2890709504,128,11108482303640880_tfds-icgen_colorectal_histology_13_v1,AFT-ZAP-00,True,50
False,9548301824,32,14230509750980601_tfds-icgen_imagenette_4_v1,AFT-ZAP-00,False,1
False,10391426560,32,15696637757977510_tfds-icgen_kmnist_7_v1,AFT-ZAP-00,False,1
False,10360302592,16,154082213662211474_tfds-icgen_stanford_dogs_6_v1,AFT-ZAP-00,False,50
False,10071034880,4,15985413132744652_tfds-icgen_rock_paper_scissors_9_v1,AFT-ZAP-00,False,1
False,8540701184,2,161454824441500086_tfds-icgen_cmaterdb_devanagari_6_v1,AFT-ZAP-00,False,50
False,10351564800,16,112676634706227526_tfds-icgen_malaria_7_v1,AFT-ZAP-00,False,1
False,8432887808,8,116939133157231714_tfds-icgen_uc_merced_11_v1,AFT-ZAP-00,False,50
False,10440484352,8,16884323242639515_tfds-icgen_cycle_gan_horse2zebra_5_v1,AFT-ZAP-00,False,50
False,10096724992,2,110764224392273611_tfds-icgen_omniglot_14_v1,AFT-ZAP-00,False,50
False,75525632,4,15279435351212384_tfds-icgen_colorectal_histology_8_v1,AFT-ZAP-00,False,50
False,3754315264,8,17344348889147753_tfds-icgen_cycle_gan_vangogh2photo_9_v1,AFT-ZAP-00,False,50
False,10418198528,4,101425274717351790_tfds-icgen_mnist_1_v1,AFT-ZAP-00,False,1
False,182408704,2,114096434601389833_tfds-icgen_stanford_dogs_1_v1,AFT-ZAP-00,False,50
False,8802933760,2,131191035764671584_tfds-icgen_horses_or_humans_4_v1,AFT-ZAP-00,False,50
False,710968320,8,13057211959897684_tfds-icgen_tf_flowers_8_v1,AFT-ZAP-00,False,50
False,4553156608,8,14303869402891756_tfds-icgen_oxford_iiit_pet_7_v1,AFT-ZAP-00,True,50
False,10414932480,32,16696044108188026_tfds-icgen_deep_weeds_13_v1,AFT-ZAP-00,False,1
False,10037193728,2,122878666504449963_tfds-icgen_cycle_gan_facades_12_v1,AFT-ZAP-00,False,1
False,4280961024,32,101810017371496923_tfds-icgen_cmaterdb_bangla_9_v1,AFT-ZAP-00,True,50
False,2753055232,128,103123274423522719_tfds-icgen_cycle_gan_iphone2dslr_flower_9_v1,AFT-ZAP-00,False,50
False,2705890304,4,150466163937249207_tfds-icgen_cmaterdb_devanagari_2_v1,AFT-ZAP-00,True,50
False,9370321920,32,16969102994630604_tfds-icgen_cycle_gan_maps_6_v1,AFT-ZAP-00,False,50
True,596517376,16,115151143824282697_tfds-icgen_cycle_gan_iphone2dslr_flower_1_v1,AFT-ZAP-00,True,26
False,506944512,64,14183625814981264_tfds-icgen_cats_vs_dogs_6_v1,AFT-ZAP-00,True,50
False,2347814912,32,15448331963939228_tfds-icgen_horses_or_humans_8_v1,AFT-ZAP-00,True,50
False,3657334784,8,158144173080121931_tfds-icgen_stanford_dogs_15_v1,AFT-ZAP-00,False,50
