output_state,experiment,diagnosis
xx,253640246244539918_micro_set2_MD_6_v1,NoCUDA
xx,2545511239775_micro_set0_CRS_v1,NoCUDA
xx,2546149734409605_micro_set0_MD_MIX_v1,NoCUDA
xx,25658420349724911_micro_set0_BRD_v1,NoCUDA
xx,25719911083101918_micro_set1_PNU_v1,NoCUDA
ok,25727888467549578_micro_set1_INS_2_v1,success
ok,25742687394051028_micro_set2_PRT_v1,success
ok,258112341456856528_micro_set0_FLW_v1,success
ok,25860307960271977_micro_set2_RSD_v1,success
ok,25865946411110381_micro_set1_ACT_40_v1,success
ok,258843302320214108_micro_set2_RSD_v1,success
ok,25930738533779737_micro_set1_INS_2_v1,success
xx,25931108296645163_micro_set0_BRD_v1,OOM
xx,25974389517287074_micro_set2_PRT_v1,batch_size>dataset_size
ok,259813727532660656_micro_set0_PLK_v1,success
ok,26093593674581746_micro_set2_FNG_v1,success
ok,2611018974135783_micro_set1_MED_LF_v1,success
xx,262427653339369361_micro_set2_PLT_DOC_v1,batch_size>dataset_size
xx,26410065671968257_micro_set1_RSICB_v1,OOM
ok,264938414517634694_micro_set2_TEX_ALOT_v1,success
ok,26602294716387858_micro_set0_FLW_v1,success
xx,26467378855483460_micro_set0_PLT_VIL_v1,OOM
xx,26676977565047993_micro_set2_PLT_DOC_v1,batch_size>dataset_size
xx,26645143320394496_micro_set0_MD_MIX_v1,OOM
ok,267803934228292145_micro_set2_INS_v1,success
ok,26836462310749491_micro_set1_MD_5_BIS_v1,success
xx,26960377393665781_micro_set1_MED_LF_v1,diverged
xx,2711111118642576_micro_set2_RSD_v1,OOM
xx,27176341777414721_micro_set1_TEX_DTD_v1,batch_size>dataset_size
ok,272003892474220196_micro_set0_RESISC_v1,success
xx,27237805394454361_micro_set1_DOG_v1,diverged
xx,27310389336205270_micro_set2_PRT_v1,batch_size>dataset_size
ok,27315753092099716_micro_set0_TEX_v1,success
ok,27356937323525534_micro_set0_PLK_v1,success
ok,27401241711121593_micro_set0_RESISC_v1,success
xx,27531334977064774_micro_set2_RSD_v1,batch_size>dataset_size
xx,27545361162439786_micro_set1_APL_v1,batch_size>dataset_size
ok,27551359899852601_micro_set1_TEX_DTD_v1,success
ok,27731301671103652_micro_set1_MD_5_BIS_v1,success
xx,27855488247655570_micro_set2_PLT_DOC_v1,batch_size>dataset_size
ok,27875280182781971_micro_set1_APL_v1,success
ok,28007791225565950_micro_set0_TEX_v1,success
xx,282446002352532076_micro_set0_PLK_v1,batch_size>dataset_size
ok,28659296121668434_micro_set1_ACT_40_v1,success
xx,286106848527623037_micro_set0_BRD_v1,OOM
ok,2872096177149780_micro_set1_APL_v1,success
ok,28798921075665767_micro_set1_PNU_v1,success
xx,28848388246046251_micro_set1_ACT_40_v1,AMP
xx,28850891535259772_micro_set1_MED_LF_v1,OOM
ok,28898603762503221_micro_set0_FLW_v1,success
xx,28906127454139774_micro_set0_CRS_v1,batch_size>dataset_size
ok,29090959227789333_micro_set1_PNU_v1,success
