,output_state,experiment,diagnosis,device_count,initial_eval_loss,initial_eval_top1,initial_eval_top5,invalid_loss_value,max_memory_allocated,final_batch_size,project,curve_length
142,xx,18378585746401696_micro_set2_TEX_ALOT_v1,batch_size>dataset_size,,,,,,,,,
143,ok,18378815631773411_micro_set2_ACT_410_v1,success,1.0,3.121875,5.0,21.875,False,707744256.0,64.0,AFT-MC-00,50.0
144,ok,184269197218988898_micro_set2_ACT_410_v1,success,1.0,3.012881335616112,4.375,19.375,False,609284608.0,2.0,AFT-MC-00,50.0
145,xx,18513791204195428_micro_set1_PLT_NET_v1,batch_size>dataset_size,,,,,,,,,
146,ok,18664494902754467_micro_set0_BRD_v1,success,1.0,3.3498046875,4.375,36.875,False,292428288.0,8.0,AFT-MC-00,50.0
147,xx,186974206064837619_micro_set2_INS_v1,AMP,,,,,,,,,
148,xx,185802204182859051_micro_set2_RSD_v1,AMP,,,,,,,,,
149,xx,18726536150154574_micro_set0_FLW_v1,batch_size>dataset_size,,,,,,,,,
150,ok,18744377994879537_micro_set0_SPT_v1,success,1.0,3.500927734375,4.375,22.5,False,246143488.0,4.0,AFT-MC-00,50.0
151,xx,18709617918834863_micro_set1_RSICB_v1,OOM,,,,,,,,,
152,xx,188154504901200724_micro_set2_BTS_v1,OOM,,,,,,,,,
153,ok,188514859335899620_micro_set0_RESISC_v1,success,1.0,3.251248466968536,6.875,26.25,False,5370205696.0,8.0,AFT-MC-00,50.0
154,xx,18915368584412563_micro_set1_ACT_40_v1,AMP,,,,,,,,,
155,ok,18919707957580532_micro_set1_INS_2_v1,success,1.0,3.0285134315490723,6.25,31.25,False,10390808576.0,8.0,AFT-MC-00,1.0
156,ok,18995363312173017_micro_set0_TEX_v1,success,1.0,3.2875,4.375,18.75,True,9065204736.0,128.0,AFT-MC-00,29.0
157,ok,18995363312173017_micro_set0_TEX_v1,success,1.0,3.2875,4.375,18.75,True,9065204736.0,128.0,AFT-MC-00,29.0
158,xx,190724977382220424_micro_set1_RSICB_v1,success,,,,,,,,,
159,ok,192011058559600078_micro_set2_FNG_v1,success,,,,,,,,,
160,ok,192260223167352774_micro_set2_MD_6_v1,success,1.0,3.0314629077911377,0.0,6.25,False,10387759616.0,8.0,AFT-MC-00,1.0
161,xx,19300641488870637_micro_set0_CRS_v1,diverged,1.0,,6.875,27.5,True,7998658560.0,4.0,AFT-MC-00,1.0
162,ok,19308582905850310_micro_set0_CRS_v1,success,1.0,3.3786011934280396,7.5,22.5,False,556528128.0,8.0,AFT-MC-00,50.0
163,ok,19360187080209792_micro_set1_DOG_v1,success,1.0,3.031910799051586,6.578947368421052,19.07894736842105,False,2593651200.0,2.0,AFT-MC-00,50.0
164,ok,19479164976227537_micro_set2_PRT_v1,success,1.0,2.978515625,0.0,25.0,False,9981017600.0,2.0,AFT-MC-00,1.0
165,ok,19508483859357548_micro_set0_SPT_v1,success,1.0,3.3628545701503754,5.0,27.5,False,681056768.0,4.0,AFT-MC-00,50.0
166,ok,19628916372295465_micro_set2_PLT_DOC_v1,success,1.0,3.05546875,6.875,23.125,True,2686989824.0,128.0,AFT-MC-00,26.0
167,ok,19633290347345823_micro_set0_PLK_v1,success,1.0,3.34921875,2.5,19.375,True,749528576.0,32.0,AFT-MC-00,27.0
168,xx,19697799935750937_micro_set0_PLK_v1,AMP,,,,,,,,,
169,ok,197396056095183270_micro_set1_PLT_NET_v1,success,1.0,1.5970245029914476e+18,7.5,27.5,False,2960513536.0,2.0,AFT-MC-00,50.0
170,ok,19734258129757852_micro_set0_BRD_v1,success,1.0,3.14557831287384,4.375,23.125,False,5211442176.0,8.0,AFT-MC-00,50.0
171,ok,19776545015704319_micro_set0_BRD_v1,success,1.0,3.01796875,8.125,25.0,False,503900672.0,64.0,AFT-MC-00,50.0
172,xx,19934929679861753_micro_set1_MD_5_BIS_v1,batch_size>dataset_size,,,,,,,,,
173,ok,19965442616008345_micro_set2_PRT_v1,success,1.0,3.0164306640625,7.5,25.625,True,102388224.0,2.0,AFT-MC-00,26.0
174,xx,1996251624098431_micro_set2_PRT_v1,AMP,,,,,,,,,
175,ok,20195454601969251_micro_set2_PLT_DOC_v1,success,1.0,,4.375,26.875,False,8727389696.0,128.0,AFT-MC-00,1.0
176,ok,20380851123398851_micro_set0_PLK_v1,success,1.0,3.517578125,6.25,18.75,False,10405811200.0,8.0,AFT-MC-00,1.0
177,xx,20404545372502261_micro_set0_BRD_v1,AMP,,,,,,,,,
178,xx,20530260665718504_micro_set0_TEX_v1,OOM,,,,,,,,,
179,ok,205391217604367445_micro_set2_ACT_410_v1,success,1.0,3.1796875,2.34375,20.3125,False,10405803520.0,64.0,AFT-MC-00,1.0
180,xx,20649432784029343_micro_set0_TEX_v1,diverged,1.0,,5.0,21.25,True,4030205952.0,16.0,AFT-MC-00,1.0
181,xx,20694965423520292_micro_set0_PLK_v1,batch_size>dataset_size,,,,,,,,,
182,xx,20749026095225031_micro_set2_BTS_v1,AMP,,,,,,,,,
183,ok,207892780451126469_micro_set0_PLT_VIL_v1,success,1.0,2.7861328125,12.5,50.0,False,9998681088.0,4.0,AFT-MC-00,1.0
184,ok,20814058693946002_micro_set0_PLK_v1,success,1.0,1.2714922286492937e+29,37.5,37.5,False,10354577408.0,4.0,AFT-MC-00,1.0
185,xx,21000448431010277_micro_set1_DOG_v1,batch_size>dataset_size,,,,,,,,,
186,ok,21188222783904542_micro_set0_RESISC_v1,success,1.0,3.1993075609207153,0.0,25.0,False,10253603840.0,4.0,AFT-MC-00,1.0
187,ok,21210679480129190_micro_set0_RESISC_v1,success,1.0,3.0419975757598876,2.5,18.125,False,6770817536.0,32.0,AFT-MC-00,50.0
188,xx,21212418873103945_micro_set1_DOG_v1,AMP,,,,,,,,,
189,ok,21225266100743822_micro_set2_ACT_410_v1,success,1.0,3.0367149114608765,0.0,0.0,False,10380001280.0,4.0,AFT-MC-00,1.0
190,ok,21255960493899074_micro_set2_ACT_410_v1,success,1.0,13253.023303222657,10.0,34.375,False,197670400.0,4.0,AFT-MC-00,50.0
191,ok,21265870444946165_micro_set2_TEX_ALOT_v1,success,1.0,3.50390625,3.125,10.9375,False,9875376640.0,32.0,AFT-MC-00,1.0
192,xx,21390189961928251_micro_set1_PNU_v1,NoCUDA,,,,,,,,,
193,ok,2126590510499403_micro_set0_BRD_v1,success,1.0,3.4140625,7.8125,34.375,False,10362297344.0,32.0,AFT-MC-00,1.0
194,ok,2149227385329133_micro_set0_FLW_v1,success,1.0,3.0312744140625,5.625,27.5,True,126222848.0,2.0,AFT-MC-00,26.0
195,xx,21581021548095377_micro_set1_DOG_v1,NoCUDA,,,,,,,,,
196,xx,217355415052412893_micro_set2_BTS_v1,NoCUDA,,,,,,,,,
197,ok,21631248846002989_micro_set2_MD_6_v1,success,1.0,3.3026123046875,3.125,21.875,True,1916435456.0,2.0,AFT-MC-00,28.0
198,ok,21744713618303250_micro_set2_INS_v1,success,1.0,3.257141923904419,4.375,20.625,False,6887111680.0,128.0,AFT-MC-00,50.0
199,ok,218080620225136424_micro_set2_TEX_ALOT_v1,success,1.0,2874339.2984375,6.25,28.75,False,638744576.0,4.0,AFT-MC-00,50.0
200,ok,21897009349963561_micro_set0_PLT_VIL_v1,success,1.0,3.118359375,6.875,28.125,False,40775168.0,2.0,AFT-MC-00,50.0
201,ok,21926727543636975_micro_set2_AWA_v1,success,1.0,3.033056640625,10.0,30.625,False,4455653376.0,4.0,AFT-MC-00,50.0
202,ok,2196929350348093_micro_set1_MD_5_BIS_v1,success,1.0,3.202197265625,4.375,25.0,True,1241582080.0,2.0,AFT-MC-00,47.0
203,ok,21983246392091035_micro_set2_MD_6_v1,success,1.0,3.0380859375,3.125,37.5,False,10103400960.0,16.0,AFT-MC-00,1.0
204,ok,22076698918687509_micro_set2_BTS_v1,success,1.0,3.182861328125,8.125,28.125,True,1877986304.0,4.0,AFT-MC-00,27.0
205,ok,2209599747700868_micro_set0_PLK_v1,success,1.0,3.2812032282352446,3.125,21.875,False,1547582464.0,4.0,AFT-MC-00,50.0
